timestamp,year,month,blockchain,contract_address,symbol,decimals,price
2025-03-10 15:00:00.000 UTC,2025,3,base,0x820c137fa70c8691f0e44dc420a5e53c168921dc,USDS,18,1.0012237
2025-03-10 15:00:00.000 UTC,2025,3,base,0xb6fe221fe9eef5aba221c348ba20a1bf5e73624c,rETH,18,2284.6587
2025-03-10 15:00:00.000 UTC,2025,3,base,0x4200000000000000000000000000000000000006,WETH,18,2026.5815
2025-03-10 15:00:00.000 UTC,2025,3,base,0x60a3e35cc302bfa44cb288bc5a4f316fdb1adb42,EURC,6,1.0843743
2025-03-10 15:00:00.000 UTC,2025,3,base,0x2ae3f1ec7f1f5012cfeab0185bfc7aa3cf0dec22,cbETH,18,2210.8997
2025-03-10 15:00:00.000 UTC,2025,3,base,0xcbb7c0000ab88b473b1f5afd9ef808440eed33bf,cbBTC,8,80259.33
2025-03-10 15:00:00.000 UTC,2025,3,base,0x35e5db674d8e93a03d814fa0ada70731efe8a4b9,USR,18,0.99984866
2025-03-10 14:00:00.000 UTC,2025,3,base,0x940181a94a35a4569e4529a3cdfb74e38fd98631,AERO,18,0.55526733
2025-03-10 14:00:00.000 UTC,2025,3,base,0x2416092f143378750bb29b79ed961ab195cceea5,ezETH,18,2151.4678
2025-03-10 14:00:00.000 UTC,2025,3,base,0xb6fe221fe9eef5aba221c348ba20a1bf5e73624c,rETH,18,2287.0352
2025-03-10 14:00:00.000 UTC,2025,3,base,0x60a3e35cc302bfa44cb288bc5a4f316fdb1adb42,EURC,6,1.0880346
2025-03-10 14:00:00.000 UTC,2025,3,base,0xc1cba3fcea344f92d9239c08c0568f6f2f0ee452,wstETH,18,2435.1008
2025-03-10 14:00:00.000 UTC,2025,3,base,0x04c0599ae5a44757c0af6f9ec3b93da8976c150a,weETH.base,18,2153.4878
2025-03-10 14:00:00.000 UTC,2025,3,base,0xcbb7c0000ab88b473b1f5afd9ef808440eed33bf,cbBTC,8,80427.875
2025-03-10 14:00:00.000 UTC,2025,3,base,0x833589fcd6edb6e08f4c7c32d4f71b54bda02913,USDC,6,1.0010481
2025-03-10 14:00:00.000 UTC,2025,3,base,0x35e5db674d8e93a03d814fa0ada70731efe8a4b9,USR,18,1.0009725
2025-03-10 14:00:00.000 UTC,2025,3,base,0x820c137fa70c8691f0e44dc420a5e53c168921dc,USDS,18,1.0058612
2025-03-10 14:00:00.000 UTC,2025,3,base,0x2ae3f1ec7f1f5012cfeab0185bfc7aa3cf0dec22,cbETH,18,2218.8975
2025-03-10 14:00:00.000 UTC,2025,3,base,0x4200000000000000000000000000000000000006,WETH,18,2036.2972
2025-03-10 13:00:00.000 UTC,2025,3,base,0x2416092f143378750bb29b79ed961ab195cceea5,ezETH,18,2201.426
